表名,表注释,ESG分类,录入属性,字段名,类型,是否可空,默认值,字段注释,键,额外,模板建议
biz_env_monitor_point,,E,必须人工录入,id,bigint unsigned,否,,,PRI,,可隐藏/系统
biz_env_monitor_point,,E,必须人工录入,project_id,bigint unsigned,否,,,MUL,,建议人工填
biz_env_monitor_point,,E,必须人工录入,section_id,bigint unsigned,是,,,,,可隐藏/系统
biz_env_monitor_point,,E,必须人工录入,point_code,varchar(64),否,,,,,建议人工填
biz_env_monitor_point,,E,必须人工录入,point_name,varchar(200),否,,,,,建议人工填
biz_env_monitor_point,,E,必须人工录入,monitor_category,varchar(32),否,,,,,建议人工填
biz_env_monitor_point,,E,必须人工录入,location_desc,varchar(500),是,,,,,可隐藏/系统
biz_env_monitor_point,,E,必须人工录入,longitude,"decimal(10,7)",是,,,,,可隐藏/系统
biz_env_monitor_point,,E,必须人工录入,latitude,"decimal(10,7)",是,,,,,可隐藏/系统
biz_env_monitor_point,,E,必须人工录入,active_status,varchar(16),否,ACTIVE,,,,可隐藏/系统
biz_env_monitor_point,,E,必须人工录入,risk_status,varchar(16),否,NORMAL,,,,可隐藏/系统
biz_env_monitor_point,,E,必须人工录入,case_status,varchar(32),是,,,,,可隐藏/系统
biz_env_monitor_point,,E,必须人工录入,responsible_unit,varchar(200),是,,,,,可隐藏/系统
biz_env_monitor_point,,E,必须人工录入,updated_at,datetime,否,CURRENT_TIMESTAMP,,,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,可隐藏/系统
biz_env_monitor_point,,E,必须人工录入,is_deleted,tinyint unsigned,否,0,,,,可隐藏/系统
biz_env_monitor_result,,E,必须人工录入,id,bigint unsigned,否,,,PRI,,可隐藏/系统
biz_env_monitor_result,,E,必须人工录入,project_id,bigint unsigned,否,,,MUL,,建议人工填
biz_env_monitor_result,,E,必须人工录入,point_id,bigint unsigned,否,,,,,建议人工填
biz_env_monitor_result,,E,必须人工录入,factor_code,varchar(64),否,,,,,建议人工填
biz_env_monitor_result,,E,必须人工录入,factor_name,varchar(128),否,,,,,建议人工填
biz_env_monitor_result,,E,必须人工录入,detected_value,"decimal(18,4)",是,,,,,可隐藏/系统
biz_env_monitor_result,,E,必须人工录入,limit_value,"decimal(18,4)",是,,,,,可隐藏/系统
biz_env_monitor_result,,E,必须人工录入,unit,varchar(32),是,,,,,可隐藏/系统
biz_env_monitor_result,,E,必须人工录入,judgement,varchar(20),否,,,,,建议人工填
biz_env_monitor_result,,E,必须人工录入,exceed_multiple,"decimal(12,4)",是,,,,,可隐藏/系统
biz_env_monitor_result,,E,必须人工录入,sampled_at,datetime,是,,,,,可隐藏/系统
biz_env_monitor_result,,E,必须人工录入,case_status,varchar(32),是,,,,,可隐藏/系统
biz_env_monitor_result,,E,必须人工录入,is_closed,tinyint unsigned,否,0,,,,可隐藏/系统
biz_env_monitor_result,,E,必须人工录入,rectification_note,varchar(500),是,,,,,可隐藏/系统
biz_env_monitor_result,,E,必须人工录入,updated_at,datetime,否,CURRENT_TIMESTAMP,,,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,可隐藏/系统
biz_env_monitor_result,,E,必须人工录入,is_deleted,tinyint unsigned,否,0,,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,id,bigint,否,,,PRI,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,document_id,bigint,是,,,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,monitor_date,date,是,,,MUL,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,monitor_type,varchar(50),是,,,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,exceed_count,int,否,0,,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,dust_exceed_count,int,否,0,,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,noise_exceed_count,int,否,0,,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,module_code,varchar(10),否,E,,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,created_at,datetime,否,CURRENT_TIMESTAMP,,,DEFAULT_GENERATED,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,monitor_point,varchar(255),是,,监测点,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,factor_name,varchar(100),是,,监测因子,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,detected_value,varchar(50),是,,检测值,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,initial_detected_value,varchar(50),是,,初检值,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,recheck_detected_value,varchar(50),是,,复测值,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,limit_value,varchar(50),是,,标准限值,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,exceed_multiple,"decimal(10,2)",是,,超标倍数,,,可隐藏/系统
env_monitoring_record,环境监测记录,E,必须人工录入,recheck_status,varchar(30),是,,复测状态,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,id,bigint,否,,,PRI,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,document_id,bigint,是,,,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,issue_type,varchar(100),是,,,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,issue_count,int,否,1,,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,issue_status,varchar(30),是,,,MUL,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,overdue,tinyint,否,0,,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,found_date,date,是,,,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,closed_date,date,是,,,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,created_at,datetime,否,CURRENT_TIMESTAMP,,,DEFAULT_GENERATED,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,issue_name,varchar(255),是,,问题名称,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,issue_level,varchar(50),是,,问题等级,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,responsible_department,varchar(100),是,,责任部门,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,deadline,date,是,,整改截止,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,duration_days,int,是,,处置时长,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,is_demo,tinyint(1),否,0,是否演示数据,MUL,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,data_nature,varchar(20),否,formal,数据性质,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,business_code,varchar(80),是,,业务编号,MUL,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,responsible_org_name,varchar(100),是,,责任单位名称,,,可隐藏/系统
env_issue_record,环保问题记录,E,必须人工录入,location_text,varchar(255),是,,位置描述,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,id,bigint,否,,,PRI,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,document_id,bigint,是,,,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,issue_status,varchar(30),是,,,MUL,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,found_date,date,是,,,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,closed_date,date,是,,,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,created_at,datetime,否,CURRENT_TIMESTAMP,,,DEFAULT_GENERATED,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,issue_name,varchar(255),是,,水保问题名称,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,issue_type,varchar(100),是,,问题类型,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,segment_name,varchar(100),是,,所属标段,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,deadline,date,是,,整改时限,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,overdue,tinyint,否,0,是否逾期,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,responsible_department,varchar(100),是,,责任部门,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,is_demo,tinyint(1),否,0,demo data flag,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,data_nature,varchar(20),否,formal,"formal, demo, or platform_calc",,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,effective_status,varchar(30),否,EFFECTIVE,"EFFECTIVE, INEFFECTIVE, or DRAFT",,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,business_code,varchar(80),是,,"business code, for example E03-D01",,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,responsible_org_name,varchar(100),是,,responsible organization,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,location_text,varchar(255),是,,location description,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,description,text,是,,issue description,,,可隐藏/系统
water_protection_issue,水保问题记录,E,必须人工录入,discovery_basis,varchar(100),是,,discovery basis,,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,id,bigint unsigned,否,,,PRI,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,project_id,bigint unsigned,否,,,MUL,,建议人工填
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,section_id,bigint unsigned,是,,,,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,work_point_id,bigint unsigned,是,,,,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,object_code,varchar(64),否,,,,,建议人工填
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,object_name,varchar(200),否,,,,,建议人工填
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,location_desc,varchar(500),是,,,,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,longitude,"decimal(10,7)",是,,,,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,latitude,"decimal(10,7)",是,,,,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,approved_flag,tinyint unsigned,否,0,,,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,capacity_m3,"decimal(18,2)",是,,,,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,disposal_status,varchar(32),否,,,,,建议人工填
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,control_measure,varchar(500),是,,,,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,measure_rate,"decimal(5,2)",是,,,,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,risk_status,varchar(16),否,NORMAL,,,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,responsible_org_id,bigint unsigned,是,,,,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,source_doc_ref,varchar(255),是,,,,,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,updated_at,datetime,否,CURRENT_TIMESTAMP,,,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,可隐藏/系统
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,必须人工录入,is_deleted,tinyint unsigned,否,0,,,,可隐藏/系统
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,id,bigint unsigned,否,,,PRI,,可隐藏/系统
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,project_id,bigint unsigned,否,,,MUL,,建议人工填
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,section_id,bigint unsigned,是,,,,,可隐藏/系统
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,work_point_id,bigint unsigned,是,,,,,可隐藏/系统
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,object_code,varchar(64),否,,,,,建议人工填
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,object_name,varchar(200),否,,,,,建议人工填
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,land_type,varchar(64),否,,,,,建议人工填
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,area_mu,"decimal(18,2)",是,,,,,可隐藏/系统
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,approval_status,varchar(32),否,,,,,建议人工填
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,restore_status,varchar(32),否,,,,,建议人工填
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,measure_rate,"decimal(5,2)",是,,,,,可隐藏/系统
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,risk_status,varchar(16),否,NORMAL,,,,可隐藏/系统
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,responsible_org_id,bigint unsigned,是,,,,,可隐藏/系统
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,source_doc_ref,varchar(255),是,,,,,可隐藏/系统
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,updated_at,datetime,否,CURRENT_TIMESTAMP,,,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,可隐藏/系统
biz_temporary_land_use,Demo E02 临时用地对象,E,必须人工录入,is_deleted,tinyint unsigned,否,0,,,,可隐藏/系统
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,id,bigint unsigned,否,,,PRI,,可隐藏/系统
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,project_id,bigint unsigned,否,,,MUL,,建议人工填
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,section_id,bigint unsigned,是,,,,,可隐藏/系统
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,work_point_id,bigint unsigned,是,,,,,可隐藏/系统
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,object_code,varchar(64),否,,,,,建议人工填
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,object_name,varchar(200),否,,,,,建议人工填
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,planned_area_mu,"decimal(18,2)",是,,,,,可隐藏/系统
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,completed_area_mu,"decimal(18,2)",是,,,,,可隐藏/系统
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,completion_rate,"decimal(5,2)",是,,,,,可隐藏/系统
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,storage_measure,varchar(500),是,,,,,可隐藏/系统
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,current_status,varchar(32),否,,,,,建议人工填
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,risk_status,varchar(16),否,NORMAL,,,,可隐藏/系统
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,responsible_org_id,bigint unsigned,是,,,,,可隐藏/系统
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,source_doc_ref,varchar(255),是,,,,,可隐藏/系统
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,updated_at,datetime,否,CURRENT_TIMESTAMP,,,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,可隐藏/系统
biz_topsoil_stripping,Demo E02 表土剥离对象,E,必须人工录入,is_deleted,tinyint unsigned,否,0,,,,可隐藏/系统
biz_construction_slope,Demo E02 施工边坡对象,E,必须人工录入,id,bigint unsigned,否,,,PRI,,可隐藏/系统
